,CountryName,LaborForceValue,LaborForceRank,CountryRegion
143,Slovenia,"1,036,000",144,Europe
144,Lesotho,"955,600",145,Africa
145,Latvia,"955,000",146,Europe
146,Namibia,"939,000",147,Africa
147,North Macedonia,"916,200",148,Europe
148,Guinea-Bissau,"867,500",149,Africa
149,"Gambia, The","856,100",150,Africa
150,Bahrain,"819,100",151,Middle East
151,Moldova,"810,000",152,Europe
152,Gabon,"718,400",153,Africa
153,Estonia,"704,700",154,Europe
154,Trinidad and Tobago,"702,900",155,Central America and the Caribbean
155,Cyprus,"655,100",156,Europe
156,Mauritius,"597,900",157,Africa
157,Timor-Leste,"569,700",158,East and Southeast Asia
158,Equatorial Guinea,"549,800",159,Africa
159,Kosovo,"500,300",160,Europe
160,Macau,"404,500",161,East and Southeast Asia
161,Eswatini,"383,500",162,Africa
162,Fiji,"372,200",163,Australia and Oceania
163,Solomon Islands,"366,000",164,Australia and Oceania
164,Bhutan,"361,000",165,South Asia
165,Luxembourg,"333,900",166,Europe
166,Guyana,"299,300",167,South America
167,Malta,"280,300",168,Europe
168,Montenegro,"277,400",169,Europe
169,Suriname,"244,200",170,South America
170,Djibouti,"240,500",171,Africa
171,Cabo Verde,"234,300",172,Africa
172,Maldives,"229,300",173,South Asia
173,"Bahamas, The","224,400",174,Central America and the Caribbean
174,Comoros,"219,900",175,Africa
175,Brunei,"219,800",176,East and Southeast Asia
176,Iceland,"200,300",177,Europe
177,Belize,"176,900",178,Central America and the Caribbean
178,Barbados,"139,100",179,Central America and the Caribbean
179,Vanuatu,"132,700",180,Australia and Oceania
180,New Caledonia,"132,200",181,Australia and Oceania
181,French Polynesia,"130,100",182,Australia and Oceania
182,Saint Lucia,"99,900",183,Central America and the Caribbean
183,Guernsey,"86,800",184,Europe
184,Jersey,"86,800",185,Europe
185,Guam,"76,200",186,Australia and Oceania
186,Curacao,"73,010",187,Central America and the Caribbean
187,Sao Tome and Principe,"71,400",188,Africa
188,Samoa,"58,400",189,Australia and Oceania
189,Grenada,"55,270",190,Central America and the Caribbean
190,Monaco,"52,000",191,Europe
191,Saint Vincent and the Grenadines,"51,700",192,Central America and the Caribbean
192,Aruba,"51,610",193,Central America and the Caribbean
193,Seychelles,"51,000",194,Africa
194,Virgin Islands,"42,200",195,Central America and the Caribbean
195,Isle of Man,"41,790",196,Europe
196,Andorra,"39,750",197,Europe
197,Cayman Islands,"39,000",198,Central America and the Caribbean
198,Kiribati,"39,000",199,Australia and Oceania
199,Liechtenstein,"38,520",200,Europe
200,"Micronesia, Federated States of","37,920",201,Australia and Oceania
201,Bermuda,"33,480",202,North America
202,Tonga,"32,000",203,Australia and Oceania
203,Antigua and Barbuda,"30,000",204,Central America and the Caribbean
204,Northern Mariana Islands,"27,970",205,Australia and Oceania
205,Faroe Islands,"27,540",206,Europe
206,Greenland,"26,840",207,North America
207,Dominica,"25,000",208,Central America and the Caribbean
208,Gibraltar,"24,420",209,Europe
209,Sint Maarten,"23,200",210,Central America and the Caribbean
210,San Marino,"21,960",211,Europe
211,Saint Kitts and Nevis,"18,170",212,Central America and the Caribbean
212,American Samoa,"17,850",213,Australia and Oceania
213,Saint Martin,"17,300",214,Central America and the Caribbean
214,British Virgin Islands,"12,770",215,Central America and the Caribbean
215,Palau,"11,610",216,Australia and Oceania
216,Marshall Islands,"10,670",217,Australia and Oceania
217,Cook Islands,"6,820",218,Australia and Oceania
218,Anguilla,"6,049",219,Central America and the Caribbean
219,Turks and Caicos Islands,"4,848",220,Central America and the Caribbean
220,Holy See (Vatican City),"4,822",221,Europe
221,Montserrat,"4,521",222,Central America and the Caribbean
222,Wallis and Futuna,"4,482",223,Australia and Oceania
223,Saint Pierre and Miquelon,"4,429",224,North America
224,Tuvalu,"3,615",225,Australia and Oceania
225,"Saint Helena, Ascension, and Tristan da Cunha","2,486",226,Africa
226,Falkland Islands (Islas Malvinas),"1,850",227,South America
227,Svalbard,"1,590",228,Europe
228,Tokelau,"1,100",229,Australia and Oceania
229,Norfolk Island,978,230,Australia and Oceania
230,Niue,663,231,Australia and Oceania
231,Pitcairn Islands,15,232,Australia and Oceania
