,CountryName,BirthRateValue,BirthRateRank,CountryRegion
154,Saint Lucia,12.02,155,Central America and the Caribbean
155,Anguilla,12.01,156,Central America and the Caribbean
156,Norway,12.0,157,Europe
157,Aruba,11.82,158,Central America and the Caribbean
158,Cayman Islands,11.69,159,Central America and the Caribbean
159,France,11.66,160,Europe
160,Virgin Islands,11.63,161,Central America and the Caribbean
161,Luxembourg,11.61,162,Europe
162,Palau,11.52,163,Australia and Oceania
163,Denmark,11.22,164,Europe
164,Montenegro,11.19,165,Europe
165,Armenia,11.1,166,Middle East
166,Bermuda,11.03,167,North America
167,Georgia,11.0,168,Middle East
168,Netherlands,10.99,169,Europe
169,Belgium,10.95,170,Europe
170,British Virgin Islands,10.95,171,Central America and the Caribbean
171,Falkland Islands (Islas Malvinas),10.9,172,South America
172,Montserrat,10.9,173,Central America and the Caribbean
173,Barbados,10.83,174,Central America and the Caribbean
174,Sweden,10.83,175,Europe
175,United Arab Emirates,10.81,176,Middle East
176,Trinidad and Tobago,10.79,177,Central America and the Caribbean
177,United Kingdom,10.79,178,Europe
178,Isle of Man,10.58,179,Europe
179,Cyprus,10.57,180,Europe
180,North Macedonia,10.45,181,Europe
181,Finland,10.42,182,Europe
182,Switzerland,10.36,183,Europe
183,Liechtenstein,10.32,184,Europe
184,Moldova,10.19,185,Europe
185,Canada,10.17,186,North America
186,Thailand,10.14,187,East and Southeast Asia
187,Cuba,10.11,188,Central America and the Caribbean
188,China,9.93,189,East and Southeast Asia
189,Mauritius,9.86,190,Africa
190,Guernsey,9.75,191,Europe
191,Malta,9.73,192,Europe
192,Austria,9.45,193,Europe
193,Russia,9.45,194,Central Asia
194,"Saint Helena, Ascension, and Tristan da Cunha",9.34,195,Africa
195,Qatar,9.33,196,Middle East
196,Saint Barthelemy,9.29,197,Central America and the Caribbean
197,Lithuania,9.26,198,Europe
198,Macau,9.11,199,East and Southeast Asia
199,Belarus,9.08,200,Europe
200,Germany,9.08,201,Europe
201,Singapore,9.05,202,East and Southeast Asia
202,Ukraine,9.0,203,Europe
203,Slovakia,8.94,204,Europe
204,Serbia,8.92,205,Europe
205,San Marino,8.85,206,Europe
206,Romania,8.76,207,Europe
207,Estonia,8.75,208,Europe
208,Latvia,8.73,209,Europe
209,Croatia,8.65,210,Europe
210,Hungary,8.65,211,Europe
211,Czechia,8.59,212,Europe
212,Poland,8.5,213,Europe
213,Bosnia and Herzegovina,8.41,214,Europe
214,Slovenia,8.3,215,Europe
215,Bulgaria,8.05,216,Europe
216,Hong Kong,8.04,217,East and Southeast Asia
217,Portugal,8.0,218,Europe
218,Puerto Rico,7.87,219,Central America and the Caribbean
219,Greece,7.61,220,Europe
220,Taiwan,7.39,221,East and Southeast Asia
221,Spain,7.13,222,Europe
222,Italy,6.95,223,Europe
223,Japan,6.95,224,East and Southeast Asia
224,"Korea, South",6.92,225,East and Southeast Asia
225,Andorra,6.88,226,Europe
226,Monaco,6.66,227,Europe
227,Saint Pierre and Miquelon,6.47,228,North America
