,CountryRegion,CountryName,BirthRateValue,BirthRateRank,EnergyConsumptionValue,EnergyConsumptionRank,CDEmissionsValue,CDEmissionsRank,FertilityRateValue,FertilityRateRank,IPGrowthRateValue,IPGrowthRateRank,LaborForceValue,LaborForceRank,LifeExpectancyValue,LifeExpectancyRank,UnemploymentRateValue,UnemploymentRateRank
57,Australia and Oceania,Vanuatu,21.57,61,,153,,201,2.66,62,4.92,93,,180,75.14,129,2.18,21
58,Africa,Libya,21.56,62,,53,,68,3.09,46,-10.57,200,,121,77.18,93,19.58,207
59,Africa,Egypt,21.46,63,,106,,29,2.88,52,-1.09,169,,21,74.45,136,9.33,153
60,Central America and the Caribbean,Belize,21.28,64,,120,,188,2.62,64,15.08,17,,178,75.82,114,8.22,137
61,Central America and the Caribbean,Haiti,21.12,65,,175,,148,2.43,72,-2.48,178,,84,65.95,198,15.73,196
62,East and Southeast Asia,Laos,20.9,67,,81,,63,2.35,76,7.61,56,,97,68.15,185,1.26,9
63,Central Asia,Tajikistan,20.73,68,,124,,121,2.45,70,22.04,3,,116,69.36,179,7.75,131
64,Australia and Oceania,Tonga,20.31,69,,133,,207,2.76,60,1.23,146,,203,77.53,88,3.97,52
65,Africa,Botswana,20.28,70,,117,,131,2.39,74,19.38,8,,143,65.64,200,24.72,219
66,Australia and Oceania,Kiribati,20.12,71,,156,,210,2.2,87,-1.57,172,,199,67.9,187,30.6,226
67,Central Asia,Kyrgyzstan,19.54,72,,115,,118,2.5,69,3.1,123,,117,72.35,159,9.1,149
68,East and Southeast Asia,Cambodia,19.29,73,,142,,98,2.24,81,9.37,34,,57,70.65,168,0.61,3
69,Australia and Oceania,Samoa,19.21,74,,125,,192,2.42,73,-9.65,199,,189,75.19,127,9.84,157
70,South America,Bolivia,18.61,75,,126,,89,2.33,77,9.56,31,,72,72.5,153,8.51,140
71,Africa,South Africa,18.56,77,,61,,12,2.18,90,6.12,72,,29,65.32,202,33.56,227
72,Africa,Algeria,18.52,78,,91,,34,2.51,68,7.36,57,,48,78.03,77,12.7,176
73,Africa,Cabo Verde,18.49,79,,128,,173,2.13,92,11.76,22,,172,73.75,144,15.42,195
74,Australia and Oceania,"Micronesia, Federated States of",18.39,80,0.0,202,,204,2.24,83,-8.33,196,,201,74.44,137,16.2,198
75,Central America and the Caribbean,Dominican Republic,18.03,81,,109,,77,2.21,86,15.89,13,,83,72.56,151,8.5,139
76,Central America and the Caribbean,Panama,17.99,82,,60,,79,2.39,75,37.5,1,,127,77.62,87,12.09,175
77,Central America and the Caribbean,Honduras,17.92,83,,134,,109,2.01,106,20.05,7,,93,75.17,128,8.51,141
78,Central America and the Caribbean,El Salvador,17.87,84,,131,,122,2.05,99,9.47,32,,114,75.37,123,5.94,98
79,Middle East,Kuwait,17.78,85,,7,,45,2.24,82,-12.2,202,,119,79.13,64,3.71,47
80,South Asia,Bangladesh,17.69,86,,155,,44,2.09,95,10.29,27,,8,74.7,133,5.23,85
81,South Asia,Nepal,17.53,87,,171,,120,1.9,129,4.51,98,,38,72.4,158,5.05,79
82,Central Asia,Turkmenistan,17.51,88,,9,,39,2.03,103,1.0,152,,125,71.83,163,5.08,81
83,Africa,Morocco,17.42,89,,129,,54,2.29,79,6.84,62,,49,73.68,145,11.47,170
84,Middle East,Israel,17.41,90,,47,,53,2.56,67,6.05,73,,96,83.35,10,5.05,78
85,South America,Venezuela,17.27,91,,67,,41,2.22,84,-2.0,173,,53,73.29,147,6.41,106
86,South America,Peru,17.21,92,,112,,55,2.2,88,16.44,10,,34,68.94,181,4.83,74
87,South Asia,India,16.82,93,,132,,3,2.1,94,10.27,28,,2,67.22,191,5.98,100
88,South America,Guyana,16.72,94,,102,,150,2.06,97,33.52,2,,167,71.87,162,16.42,200
89,Australia and Oceania,Fiji,16.56,96,,118,,164,2.26,80,-8.34,198,,163,74.27,140,5.24,87
90,Central America and the Caribbean,Nicaragua,16.52,97,,141,,136,1.8,145,21.28,4,,105,74.78,132,5.96,99
91,South America,Ecuador,16.45,98,,104,,70,2.04,101,0.49,154,,62,78.0,79,6.43,108
92,East and Southeast Asia,Burma,16.34,99,,154,,75,2.02,104,-20.65,205,,30,69.92,172,2.17,19
93,South America,Paraguay,16.32,100,,89,,116,1.89,132,4.69,96,,99,78.37,73,7.21,120
94,East and Southeast Asia,Brunei,16.14,101,,5,,107,1.74,157,-4.17,185,,176,78.38,72,7.65,128
95,South Asia,Bhutan,15.94,102,,59,,174,1.79,147,1.96,134,,165,72.31,161,4.33,60
96,Central America and the Caribbean,Jamaica,15.91,103,,101,,106,2.06,98,2.38,131,,134,75.75,116,9.18,151
97,East and Southeast Asia,Mongolia,15.84,104,,69,,83,1.91,124,-2.22,176,,136,71.37,165,7.08,118
98,East and Southeast Asia,Vietnam,15.69,105,,113,,27,2.05,100,3.58,109,,12,75.52,121,2.17,20
99,South America,Argentina,15.58,106,,77,,32,2.18,89,15.26,16,,31,78.31,74,10.9,164
100,South Asia,Maldives,15.54,107,,92,,157,1.71,165,4.51,97,,173,76.94,96,6.08,101
101,Central Asia,Uzbekistan,15.53,108,,94,,42,1.73,160,8.37,48,,45,75.29,125,7.16,119
102,Central Asia,Kazakhstan,15.38,110,,23,,25,2.11,93,5.1,87,,58,72.53,152,4.9,75
103,South America,Suriname,15.38,111,,71,,156,1.92,122,-10.92,201,,170,72.42,157,10.06,159
104,East and Southeast Asia,Indonesia,15.32,112,,122,,11,2.01,107,3.42,113,,4,73.08,149,4.41,63
105,Middle East,Iran,15.27,113,,36,,8,1.93,118,3.21,121,,24,75.25,126,11.46,168
106,South America,Colombia,15.21,114,,116,,48,1.95,115,9.65,30,,25,74.89,130,14.34,188
107,Central America and the Caribbean,Antigua and Barbuda,15.16,115,,52,,182,1.95,114,8.26,49,,204,77.8,83,11.0,165
108,Europe,Faroe Islands,14.94,116,0.0,199,,177,2.29,78,3.4,115,,206,81.26,42,2.2,22
109,Europe,Kosovo,14.85,117,,99,,114,1.9,128,7.76,55,,160,71.12,167,30.5,225
110,Central America and the Caribbean,"Bahamas, The",14.64,118,,37,,142,1.98,111,8.51,45,,174,76.13,107,13.24,180
111,Africa,Tunisia,14.62,119,,114,,81,2.0,108,8.6,41,,95,76.82,99,16.82,202
112,East and Southeast Asia,Malaysia,14.55,120,,44,,26,1.75,155,5.65,78,,39,76.13,108,4.61,67
113,Central America and the Caribbean,Costa Rica,14.28,121,,103,,111,1.86,134,9.83,29,,118,79.64,58,17.95,204
114,Middle East,Turkey (Turkiye),14.28,122,,76,,17,1.93,119,12.46,21,,19,76.21,105,13.39,183
115,Middle East,Saudi Arabia,14.22,123,,12,,10,1.92,121,1.71,139,,40,76.65,102,7.36,121
116,East and Southeast Asia,"Korea, North",14.21,124,,146,,87,1.9,127,1.0,151,,36,71.77,164,2.59,25
117,Australia and Oceania,New Caledonia,14.13,125,0.0,205,,132,1.86,135,3.5,110,,181,78.83,66,16.57,201
118,South America,Brazil,13.96,127,,93,,14,1.8,144,4.48,99,,5,75.92,112,14.4,190
119,Central America and the Caribbean,Grenada,13.94,128,,107,,196,1.93,117,15.33,15,,190,75.74,118,24.0,217
120,Central America and the Caribbean,Dominica,13.91,130,,111,,203,2.02,105,5.01,90,,208,78.21,76,23.0,214
121,South Asia,Sri Lanka,13.8,131,,138,,80,1.98,113,5.62,81,,64,78.0,80,5.39,91
122,Middle East,Azerbaijan,13.59,133,,86,,72,1.86,133,1.95,135,,87,74.15,142,6.58,110
123,North America,Mexico,13.55,134,,90,,13,1.68,171,5.44,82,,13,72.32,160,4.38,62
124,Central America and the Caribbean,Turks and Caicos Islands,13.54,135,0.0,210,,200,1.7,169,5.0,91,,220,80.82,44,10.0,158
125,Middle East,Lebanon,13.1,138,,97,,78,1.71,164,-6.85,193,,130,78.76,67,14.49,191
126,Australia and Oceania,New Zealand,12.78,140,,22,,64,1.86,136,-2.09,174,,109,82.54,24,4.12,59
127,South America,Chile,12.75,141,,72,,47,1.76,151,5.06,89,,60,79.79,54,9.13,150
128,South America,Uruguay,12.71,142,,85,,129,1.76,153,5.87,74,,131,78.43,71,10.45,161
129,Europe,Albania,12.69,143,,110,,144,1.54,194,16.0,12,,135,79.47,61,11.82,172
130,Australia and Oceania,Cook Islands,12.55,145,0.0,197,,208,2.07,96,1.0,150,,218,77.14,94,13.1,179
131,Middle East,Bahrain,12.4,147,,3,,61,1.67,172,0.4,155,,151,79.9,52,1.87,15
132,Africa,Seychelles,12.37,148,,29,,171,1.82,141,3.63,107,,194,76.1,109,3.0,34
133,Europe,Ireland,12.32,149,,41,,71,1.92,120,20.33,6,,115,81.66,37,6.63,111
134,Australia and Oceania,Australia,12.3,150,,16,,15,1.73,159,-0.55,162,,46,83.09,14,5.11,82
135,North America,United States,12.28,151,,11,,2,1.84,137,3.25,119,,3,80.59,46,5.46,95
136,Central America and the Caribbean,Saint Vincent and the Grenadines,12.27,152,,123,,202,1.75,156,5.7,76,,192,76.68,101,21.62,211
137,Central America and the Caribbean,Saint Kitts and Nevis,12.24,154,,82,,199,1.76,152,1.55,140,,212,77.08,95,4.5,65
138,Central America and the Caribbean,Saint Lucia,12.02,155,,100,,184,1.72,162,10.8,24,,183,78.95,65,16.91,203
139,Europe,Norway,12.0,157,,8,,69,1.83,139,2.19,132,,107,82.55,22,4.99,76
140,Central America and the Caribbean,Cayman Islands,11.69,159,,25,,178,1.82,140,-3.36,180,,198,82.04,29,4.0,54
141,Europe,France,11.66,160,,34,,18,2.03,102,6.98,61,,20,82.59,19,8.06,135
142,Europe,Luxembourg,11.61,162,,10,,102,1.63,178,2.87,125,,166,82.98,15,5.23,86
143,Europe,Denmark,11.22,164,,43,,73,1.77,150,5.25,85,,104,81.66,36,4.8,71
144,Europe,Montenegro,11.19,165,,78,,153,1.81,143,1.39,144,,169,77.75,84,18.49,205
145,Middle East,Armenia,11.1,166,,98,,130,1.65,175,3.4,114,,141,76.13,106,20.9,210
146,North America,Bermuda,11.03,167,,24,,180,1.9,125,0.1,157,,202,82.04,28,7.0,116
147,Middle East,Georgia,11.0,168,,87,,104,1.75,154,2.4,130,,129,77.5,89,10.66,163
148,Europe,Netherlands,10.99,169,,19,,30,1.78,148,4.93,92,,54,82.16,27,4.01,56
149,Europe,Belgium,10.95,170,,17,,37,1.77,149,1.28,145,,80,81.86,32,6.42,107
150,Central America and the Caribbean,British Virgin Islands,10.95,171,,74,,205,1.35,217,1.1,147,,215,79.67,57,2.9,32
