,CountryName,FertilityRateValue,FertilityRateRank,CountryRegion
156,Brunei,1.74,157,East and Southeast Asia
157,Finland,1.74,158,Europe
158,Australia,1.73,159,Australia and Oceania
159,Uzbekistan,1.73,160,Central Asia
160,Anguilla,1.72,161,Central America and the Caribbean
161,Saint Lucia,1.72,162,Central America and the Caribbean
162,Cuba,1.71,163,Central America and the Caribbean
163,Lebanon,1.71,164,Middle East
164,Maldives,1.71,165,South Asia
165,Wallis and Futuna,1.71,166,Australia and Oceania
166,Barbados,1.7,167,Central America and the Caribbean
167,Palau,1.7,168,Australia and Oceania
168,Turks and Caicos Islands,1.7,169,Central America and the Caribbean
169,Liechtenstein,1.69,170,Europe
170,Mexico,1.68,171,North America
171,Bahrain,1.67,172,Middle East
172,Sweden,1.67,173,Europe
173,Jersey,1.66,174,Europe
174,Armenia,1.65,175,Middle East
175,Saint Barthelemy,1.64,176,Central America and the Caribbean
176,United Arab Emirates,1.64,177,Middle East
177,Luxembourg,1.63,178,Europe
178,Romania,1.63,179,Europe
179,Trinidad and Tobago,1.63,180,Central America and the Caribbean
180,United Kingdom,1.63,181,Europe
181,Estonia,1.61,182,Europe
182,Lithuania,1.61,183,Europe
183,Russia,1.6,184,Central Asia
184,"Saint Helena, Ascension, and Tristan da Cunha",1.6,185,Africa
185,Slovenia,1.6,186,Europe
186,Moldova,1.59,187,Europe
187,Saint Pierre and Miquelon,1.59,188,North America
188,Guernsey,1.58,189,Europe
189,Switzerland,1.58,190,Europe
190,Canada,1.57,191,North America
191,Germany,1.57,192,Europe
192,Ukraine,1.56,193,Europe
193,Albania,1.54,194,Europe
194,Latvia,1.54,195,Europe
195,Thailand,1.54,196,East and Southeast Asia
196,Monaco,1.53,197,Europe
197,San Marino,1.53,198,Europe
198,Austria,1.51,199,Europe
199,Belarus,1.51,200,Europe
200,North Macedonia,1.51,201,Europe
201,Bulgaria,1.5,202,Europe
202,Malta,1.5,203,Europe
203,Czechia,1.49,204,Europe
204,Cyprus,1.48,205,Europe
205,Hungary,1.48,206,Europe
206,Serbia,1.46,207,Europe
207,Slovakia,1.46,208,Europe
208,Andorra,1.45,209,Europe
209,China,1.45,210,East and Southeast Asia
210,Croatia,1.45,211,Europe
211,Portugal,1.43,212,Europe
212,Greece,1.4,213,Europe
213,Poland,1.4,214,Europe
214,Japan,1.38,215,East and Southeast Asia
215,Bosnia and Herzegovina,1.36,216,Europe
216,British Virgin Islands,1.35,217,Central America and the Caribbean
217,Mauritius,1.35,218,Africa
218,Montserrat,1.32,219,Central America and the Caribbean
219,Spain,1.27,220,Europe
220,Puerto Rico,1.24,221,Central America and the Caribbean
221,Hong Kong,1.22,222,East and Southeast Asia
222,Italy,1.22,223,Europe
223,Macau,1.22,224,East and Southeast Asia
224,Singapore,1.16,225,East and Southeast Asia
225,"Korea, South",1.1,226,East and Southeast Asia
226,Taiwan,1.08,227,East and Southeast Asia
