,CountryName,CDEmissionsValue,CDEmissionsRank,CountryRegion
130,Botswana,"5,965,000.0",131,Africa
131,New Caledonia,"5,886,000.0",132,Australia and Oceania
132,Uganda,"5,841,000.0",133,Africa
133,Mali,"5,679,000.0",134,Africa
134,Estonia,"4,924,000.0",135,Europe
135,Nicaragua,"4,851,000.0",136,Central America and the Caribbean
136,Equatorial Guinea,"4,528,000.0",137,Africa
137,"Congo, Republic of the","4,523,000.0",138,Africa
138,Burkina Faso,"4,444,000.0",139,Africa
139,Madagascar,"4,218,000.0",140,Africa
140,Mauritania,"4,041,000.0",141,Africa
141,"Bahamas, The","3,984,000.0",142,Central America and the Caribbean
142,Namibia,"3,831,000.0",143,Africa
143,Albania,"3,794,000.0",144,Europe
144,Gaza Strip,"3,341,000.0",145,Middle East
145,West Bank,"3,341,000.0",146,Middle East
146,Iceland,"3,337,000.0",147,Europe
147,Haiti,"3,139,000.0",148,Central America and the Caribbean
148,Guinea,"2,981,000.0",149,Africa
149,Guyana,"2,743,000.0",150,South America
150,"Congo, Democratic Republic of the","2,653,000.0",151,Africa
151,Gabon,"2,651,000.0",152,Africa
152,Montenegro,"2,447,000.0",153,Europe
153,Virgin Islands,"2,438,000.0",154,Central America and the Caribbean
154,Niger,"2,374,000.0",155,Africa
155,Suriname,"2,372,000.0",156,South America
156,Maldives,"2,286,000.0",157,South Asia
157,Togo,"2,244,000.0",158,Africa
158,Macau,"2,012,000.0",159,East and Southeast Asia
159,Guam,"1,828,000.0",160,Australia and Oceania
160,South Sudan,"1,778,000.0",161,Africa
161,Chad,"1,771,000.0",162,Africa
162,Barbados,"1,703,000.0",163,Central America and the Caribbean
163,Fiji,"1,691,000.0",164,Australia and Oceania
164,Malawi,"1,542,000.0",165,Africa
165,Liberia,"1,346,000.0",166,Africa
166,Wake Island,"1,275,000.0",167,Australia and Oceania
167,Aruba,"1,254,000.0",168,Central America and the Caribbean
168,Eswatini,"1,224,000.0",169,Africa
169,Rwanda,"1,189,000.0",170,Africa
170,Seychelles,"1,156,000.0",171,Africa
171,French Polynesia,"1,030,000.0",172,Australia and Oceania
172,Cabo Verde,"1,002,000.0",173,Africa
173,Bhutan,"934,000.0",174,South Asia
174,Sierra Leone,"899,000.0",175,Africa
175,Somalia,"882,000.0",176,Africa
176,Faroe Islands,"870,000.0",177,Europe
177,Cayman Islands,"808,000.0",178,Central America and the Caribbean
178,Eritrea,"798,000.0",179,Africa
179,Bermuda,"796,000.0",180,North America
180,Lesotho,"736,000.0",181,Africa
181,Antigua and Barbuda,"729,000.0",182,Central America and the Caribbean
182,Burundi,"715,000.0",183,Africa
183,Saint Lucia,"659,000.0",184,Central America and the Caribbean
184,Djibouti,"610,000.0",185,Africa
185,"Gambia, The","606,000.0",186,Africa
186,Greenland,"605,000.0",187,North America
187,Belize,"541,000.0",188,Central America and the Caribbean
188,Timor-Leste,"538,000.0",189,East and Southeast Asia
189,Jersey,"450,000.0",190,Europe
190,American Samoa,"355,000.0",191,Australia and Oceania
191,Samoa,"355,000.0",192,Australia and Oceania
192,Guinea-Bissau,"342,000.0",193,Africa
193,Solomon Islands,"333,000.0",194,Australia and Oceania
194,Comoros,"326,000.0",195,Africa
195,Grenada,"316,000.0",196,Central America and the Caribbean
196,Marshall Islands,"293,700.0",197,Australia and Oceania
197,Central African Republic,"285,000.0",198,Africa
198,Saint Kitts and Nevis,"268,000.0",199,Central America and the Caribbean
199,Turks and Caicos Islands,"245,000.0",200,Central America and the Caribbean
200,Vanuatu,"225,000.0",201,Australia and Oceania
201,Saint Vincent and the Grenadines,"202,000.0",202,Central America and the Caribbean
202,Dominica,"182,000.0",203,Central America and the Caribbean
203,"Micronesia, Federated States of","177,000.0",204,Australia and Oceania
204,British Virgin Islands,"173,000.0",205,Central America and the Caribbean
205,Sao Tome and Principe,"173,000.0",206,Africa
206,Tonga,"171,000.0",207,Australia and Oceania
207,Cook Islands,"114,000.0",208,Australia and Oceania
208,Saint Pierre and Miquelon,"84,000.0",209,North America
209,Kiribati,"76,000.0",210,Australia and Oceania
210,Nauru,"66,000.0",211,Australia and Oceania
211,Falkland Islands (Islas Malvinas),"46,000.0",212,South America
212,Montserrat,"33,000.0",213,Central America and the Caribbean
213,Antarctica,"28,000.0",214,Antarctica
214,"Saint Helena, Ascension, and Tristan da Cunha","13,000.0",215,Africa
215,Niue,"8,000.0",216,Australia and Oceania
216,Northern Mariana Islands,0.0,217,Australia and Oceania
217,Tuvalu,0.0,218,Australia and Oceania
