,CountryName,UnemploymentRateValue,UnemploymentRateRank,CountryRegion
157,Turks and Caicos Islands,10.0,158,Central America and the Caribbean
158,Suriname,10.06,159,South America
159,Barbados,10.41,160,Central America and the Caribbean
160,Uruguay,10.45,161,South America
161,Syria,10.57,162,Middle East
162,Georgia,10.66,163,Middle East
163,Argentina,10.9,164,South America
164,Antigua and Barbuda,11.0,165,Central America and the Caribbean
165,Northern Mariana Islands,11.2,166,Australia and Oceania
166,"Gambia, The",11.21,167,Africa
167,Iran,11.46,168,Middle East
168,Mauritania,11.46,169,Africa
169,Morocco,11.47,170,Africa
170,Serbia,11.81,171,Europe
171,Albania,11.82,172,Europe
172,Niue,12.0,173,Australia and Oceania
173,Sint Maarten,12.0,174,Central America and the Caribbean
174,Panama,12.09,175,Central America and the Caribbean
175,Algeria,12.7,176,Africa
176,Curacao,13.0,177,Central America and the Caribbean
177,Zambia,13.03,178,Africa
178,Cook Islands,13.1,179,Australia and Oceania
179,"Bahamas, The",13.24,180,Central America and the Caribbean
180,Virgin Islands,13.27,181,Central America and the Caribbean
181,Afghanistan,13.28,182,South Asia
182,Turkey (Turkiye),13.39,183,Middle East
183,Yemen,13.57,184,Middle East
184,South Sudan,13.91,185,Africa
185,"Saint Helena, Ascension, and Tristan da Cunha",14.0,186,Africa
186,Iraq,14.19,187,Middle East
187,Colombia,14.34,188,South America
188,French Polynesia,14.39,189,Australia and Oceania
189,Brazil,14.4,190,South America
190,Lebanon,14.49,191,Middle East
191,Spain,14.73,192,Europe
192,Greece,14.8,193,Europe
193,Bosnia and Herzegovina,15.22,194,Europe
194,Cabo Verde,15.42,195,Africa
195,Haiti,15.73,196,Central America and the Caribbean
196,Sao Tome and Principe,15.91,197,Africa
197,"Micronesia, Federated States of",16.2,198,Australia and Oceania
198,North Macedonia,16.2,199,Europe
199,Guyana,16.42,200,South America
200,New Caledonia,16.57,201,Australia and Oceania
201,Tunisia,16.82,202,Africa
202,Saint Lucia,16.91,203,Central America and the Caribbean
203,Costa Rica,17.95,204,Central America and the Caribbean
204,Montenegro,18.49,205,Europe
205,Jordan,19.25,206,Middle East
206,Libya,19.58,207,Africa
207,Sudan,19.81,208,Africa
